event_id,telegraph_ts,source,telegraph_text
TRT040,2026-03-01,Trump (Truth Social),"Iran just stated that they are going to hit very hard today, harder than they have ever hit before. THEY BETTER NOT DO THAT, HOWEVER, BECAUSE IF THEY DO, WE WILL HIT THEM WITH A FORCE THAT HAS NEVER BEEN SEEN BEFORE! Thank you for your attention to this matter! President DONALD J. TRUMP"
TRT041,2026-03-01,Trump (Truth Social),"I have just been informed that we have destroyed and sunk 9 Iranian Naval Ships, some of them relatively large and important. We are going after the rest — They will soon be floating at the bottom of the sea, also! In a different attack, we largely destroyed their Naval Headquarters. Other than that, their Navy is doing very well! PRESIDENT DONALD J. TRUMP"
TRT042,2026-03-03,Trump (Truth Social),"Effective IMMEDIATELY, I have ordered the United States Development Finance Corporation (DFC) to provide, at a very reasonable price, political risk insurance and guarantees for the Financial Security of ALL Maritime Trade, especially Energy, traveling through the Gulf. This will be available to all Shipping Lines. If necessary, the United States Navy will begin escorting tankers through the Strait of Hormuz, as soon as possible. No matter what, the United States will ensure the FREE FLOW of ENERGY to the WORLD. The United States' ECONOMIC and MILITARY MIGHT is the GREATEST ON EARTH — More actions to come. Thank you for your attention to this matter! President DONALD J. TRUMP"
TRT043,2026-03-04,Trump (Truth Social),"Delcy Rodríguez, who is the President of Venezuela, is doing a great job, and working with U.S. Representatives very well. The Oil is beginning to flow, and the professionalism and dedication between both Countries is a very nice thing to see! President DONALD J. TRUMP"
TRT044,2026-03-06,Trump (Truth Social),"We just concluded a very good meeting with the largest U.S. Defense Manufacturing Companies where we discussed Production and Production Schedules. They have agreed to quadruple Production of the ""Exquisite Class"" Weaponry in that we want to reach, as rapidly as possible, the highest levels of quantity. Expansion began three months prior to the meeting, and Plants and Production of many of these Weapons are already under way. We have a virtually unlimited supply of Medium and Upper Medium Grade Munitions, which we are using, as an example, in Iran, and recently used in Venezuela. Regardless, however, we have also increased Orders at these levels. The Companies represented were the CEOs of BAE Systems, Boeing, Honeywell Aerospace, L3Harris Missile Solutions, Lockheed Martin, Northrop Grumman, and Raytheon. The meeting concluded with another meeting scheduled in two months. States all over the Country are bidding for these new Plants. Thank you for your attention to this matter! President DONALD J. TRUMP"
TRT045,2026-03-10,Trump (Truth Social),"I am pleased to report that within the last few hours, we have hit, and completely destroyed, 10 inactive mine laying boats and/or ships, with more to follow! President DONALD J. TRUMP"
TRT046,2026-03-10,Trump (Truth Social),"America is returning to REAL ENERGY DOMINANCE! Today I am proud to announce that America First Refining is opening the FIRST new U.S. Oil Refinery in 50 YEARS in Brownsville, Texas. THIS IS A HISTORIC $300 BILLION DOLLAR DEAL — THE BIGGEST IN U.S. HISTORY, A MASSIVE WIN for American Workers, Energy, and the GREAT People of South Texas! Thank you to our partners in India, and their largest privately held Energy Company, Reliance, for this tremendous Investment. It is because of our America First Agenda, streamlining Permits, and lowering Taxes, that have attracted Billions of Dollars in Deals coming back to our Nation. A new Refinery at the Port of Brownsville, will fuel U.S. Markets, strengthen our National Security, boost American Energy production, deliver Billions of Dollars in Economic impact, and will be THE CLEANEST REFINERY IN THE WORLD. It will power Global Exports, and bring THOUSANDS of long overdue Jobs and Growth to a Region that deserves it. This is what AMERICAN ENERGY DOMINANCE looks like. AMERICA FIRST, ALWAYS!"
TRT047,2026-03-13,Trump (Truth Social),"Moments ago, at my direction, the United States Central Command executed one of the most powerful bombing raids in the History of the Middle East, and totally obliterated every MILITARY target in Iran's crown jewel, Kharg Island. Our Weapons are the most powerful and sophisticated that the World has ever known but, for reasons of decency, I have chosen NOT to wipe out the Oil Infrastructure on the Island. However, should Iran, or anyone else, do anything to interfere with the Free and Safe Passage of Ships through the Strait of Hormuz, I will immediately reconsider this decision. During my First Term, and currently, I rebuilt our Military into the Most Lethal, Powerful, and Effective Force, by far, anywhere in the World. Iran has NO ability to defend anything that we want to attack — There is nothing they can do about it! Iran will NEVER have a nuclear weapon, nor will it have the ability to threaten the United States of America, the Middle East or, for that matter, the World! Iran's Military, and all others involved with this Terrorist Regime, would be wise to lay down their arms, and save what's left of their country, which isn't much! Thank you for your attention to this matter. President DONALD J. TRUMP"
TRT048,2026-03-14,Trump (Truth Social),"Many Countries, especially those who are affected by Iran's attempted closure of the Hormuz Strait, will be sending War Ships, in conjunction with the United States of America, to keep the Strait open and safe. We have already destroyed 100% of Iran's Military capability, but it's easy for them to send a drone or two, drop a mine, or deliver a close range missile somewhere along, or in, this Waterway, no matter how badly defeated they are. Hopefully China, France, Japan, South Korea, the UK, and others, that are affected by this artificial constraint, will send Ships to the area so that the Hormuz Strait will no longer be a threat by a Nation that has been totally decapitated. In the meantime, the United States will be bombing the hell out of the shoreline, and continually shooting Iranian Boats and Ships out of the water. One way or the other, we will soon get the Hormuz Strait OPEN, SAFE, and FREE! President DONALD J. TRUMP"
TRT049,2026-03-19,Trump (Truth Social),"Israel, out of anger for what has taken place in the Middle East, has violently lashed out at a major facility known as South Pars Gas Field in Iran. A relatively small section of the whole has been hit. The United States knew nothing about this particular attack, and the country of Qatar was in no way, shape, or form, involved with it, nor did it have any idea that it was going to happen. Unfortunately, Iran did not know this, or any of the pertinent facts pertaining to the South Pars attack, and unjustifiably and unfairly attacked a portion of Qatar's LNG Gas facility. NO MORE ATTACKS WILL BE MADE BY ISRAEL pertaining to this extremely important and valuable South Pars Field unless Iran unwisely decides to attack a very innocent, in this case, Qatar - In which instance the United States of America, with or without the help or consent of Israel, will massively blow up the entirety of the South Pars Gas Field at an amount of strength and power that Iran has never seen or witnessed before. I do not want to authorize this level of violence and destruction because of the long term implications that it will have on the future of Iran, but if Qatar's LNG is again attacked, I will not hesitate to do so. Thank you for your attention to this matter. President DONALD J. TRUMP"
TRT050,2026-03-21,Trump (Truth Social),"If Iran doesn't FULLY OPEN, WITHOUT THREAT, the Strait of Hormuz, within 48 HOURS from this exact point in time, the United States of America will hit and obliterate their various POWER PLANTS, STARTING WITH THE BIGGEST ONE FIRST! Thank you for your attention to this matter. President DONALD J. TRUMP"
TRT051,2026-03-23,Trump (Truth Social),"I AM PLEASED TO REPORT THAT THE UNITED STATES OF AMERICA, AND THE COUNTRY OF IRAN, HAVE HAD, OVER THE LAST TWO DAYS, VERY GOOD AND PRODUCTIVE CONVERSATIONS REGARDING A COMPLETE AND TOTAL RESOLUTION OF OUR HOSTILITIES IN THE MIDDLE EAST. BASED ON THE TENOR AND TONE OF THESE IN DEPTH, DETAILED, AND CONSTRUCTIVE CONVERSATIONS, WHICH WILL CONTINUE THROUGHOUT THE WEEK, I HAVE INSTRUCTED THE DEPARTMENT OF WAR TO POSTPONE ANY AND ALL MILITARY STRIKES AGAINST IRANIAN POWER PLANTS AND ENERGY INFRASTRUCTURE FOR A FIVE DAY PERIOD, SUBJECT TO THE SUCCESS OF THE ONGOING MEETINGS AND DISCUSSIONS. THANK YOU FOR YOUR ATTENTION TO THIS MATTER! PRESIDENT DONALD J. TRUMP"
TRT052,2026-03-26,Trump (Truth Social),"As per Iranian Government request, please let this statement serve to represent that I am pausing the period of Energy Plant destruction by 10 Days to Monday, April 6, 2026, at 8 P.M., Eastern Time. Talks are ongoing and, despite erroneous statements to the contrary by the Fake News Media, and others, they are going very well. Thank you for your attention to this matter! President DONALD J. TRUMP"
TRT053,2026-03-30,Trump (Truth Social),"Big day in Iran. Many long sought after targets have been taken out and destroyed by our GREAT MILITARY, the finest and most lethal in the World. God bless you all! President DJT"
TRT054,2026-03-30,Trump (Truth Social),"The United States of America is in serious discussions with A NEW, AND MORE REASONABLE, REGIME to end our Military Operations in Iran. Great progress has been made but, if for any reason a deal is not shortly reached, which it probably will be, and if the Hormuz Strait is not immediately ""Open for Business,"" we will conclude our lovely ""stay"" in Iran by blowing up and completely obliterating all of their Electric Generating Plants, Oil Wells and Kharg Island (and possibly all desalinization plants!), which we have purposefully not yet ""touched."" This will be in retribution for our many soldiers, and others, that Iran has butchered and killed over the old Regime's 47 year ""Reign of Terror."" Thank you for your attention to this matter. President DONALD J. TRUMP"
TRT055,2026-03-31,Trump (Truth Social),"All of those countries that can't get jet fuel because of the Strait of Hormuz, like the United Kingdom, which refused to get involved in the decapitation of Iran, I have a suggestion for you: Number 1, buy from the U.S., we have plenty, and Number 2, build up some delayed courage, go to the Strait, and just TAKE IT. You'll have to start learning how to fight for yourself, the U.S.A. won't be there to help you anymore, just like you weren't there for us. Iran has been, essentially, decimated. The hard part is done. Go get your own oil! President DJT"
TRT056,2026-04-01,Trump (Truth Social),"Iran's New Regime President, much less Radicalized and far more intelligent than his predecessors, has just asked the United States of America for a CEASEFIRE! We will consider when Hormuz Strait is open, free, and clear. Until then, we are blasting Iran into oblivion or, as they say, back to the Stone Ages!!! President DJT"
TRT057,2026-04-02,Trump (Truth Social),"The biggest bridge in Iran comes tumbling down, never to be used again — Much more to follow! IT IS TIME FOR IRAN TO MAKE A DEAL BEFORE IT IS TOO LATE, AND THERE IS NOTHING LEFT OF WHAT STILL COULD BECOME A GREAT COUNTRY! President DONALD J. TRUMP"
TRT058,2026-04-04,Trump (Truth Social),"Many of Iran's Military Leaders, who have led them poorly and unwisely, are terminated, along with much else, with this massive strike in Tehran! President DONALD J. TRUMP"
TRT059,2026-04-05,Trump (Truth Social),"Tuesday will be Power Plant Day, and Bridge Day, all wrapped up in one, in Iran. There will be nothing like it!!! Open the Fuckin' Strait, you crazy bastards, or you'll be living in Hell - JUST WATCH! Praise be to Allah. President DONALD J. TRUMP"
TRT060,2026-04-07,Trump (Truth Social),"Based on conversations with Prime Minister Shehbaz Sharif and Field Marshal Asim Munir, of Pakistan, and wherein they requested that I hold off the destructive force being sent tonight to Iran, and subject to the Islamic Republic of Iran agreeing to the COMPLETE, IMMEDIATE, and SAFE OPENING of the Strait of Hormuz, I agree to suspend the bombing and attack of Iran for a period of two weeks. This will be a double sided CEASEFIRE! The reason for doing so is that we have already met and exceeded all Military objectives, and are very far along with a definitive Agreement concerning Longterm PEACE with Iran, and PEACE in the Middle East. We received a 10 point proposal from Iran, and believe it is a workable basis on which to negotiate. Almost all of the various points of past contention have been agreed to between the United States and Iran, but a two week period will allow the Agreement to be finalized and consummated. On behalf of the United States of America, as President, and also representing the Countries of the Middle East, it is an Honor to have this Longterm problem close to resolution. Thank you for your attention to this matter! President DONALD J. TRUMP"
TRT061,2026-04-08,Trump (Truth Social),"The United States will work closely with Iran, which we have determined has gone through what will be a very productive Regime Change! There will be no enrichment of Uranium, and the United States will, working with Iran, dig up and remove all of the deeply buried (B-2 Bombers) Nuclear ""Dust."" It is now, and has been, under very exacting Satellite Surveillance (Space Force!). Nothing has been touched from the date of attack. We are, and will be, talking Tariff and Sanctions relief with Iran. Many of the 15 points have already been been agreed to. Thank you for your attention to this matter. President DONALD J. TRUMP"
TRT062,2026-04-08,Trump (Truth Social),"A Country supplying Military Weapons to Iran will be immediately tariffed, on any and all goods sold to the United States of America, 50%, effective immediately. There will be no exclusions or exemptions! President DJT"
TRT063,2026-04-09,Trump (Truth Social),"All U.S. Ships, Aircraft, and Military Personnel, with additional Ammunition, Weaponry, and anything else that is appropriate and necessary for the lethal prosecution and destruction of an already substantially degraded Enemy, will remain in place in, and around, Iran, until such time as the REAL AGREEMENT reached is fully complied with. If for any reason it is not, which is highly unlikely, then the ""Shootin' Starts,"" bigger, and better, and stronger than anyone has ever seen before. It was agreed, a long time ago, and despite all of the fake rhetoric to the contrary - NO NUCLEAR WEAPONS and, the Strait of Hormuz WILL BE OPEN & SAFE. In the meantime our great Military is Loading Up and Resting, looking forward, actually, to its next Conquest. AMERICA IS BACK!"
TRT064,2026-04-12,Trump (Truth Social),"So, there you have it, the meeting went well, most points were agreed to, but the only point that really mattered, NUCLEAR, was not. Effective immediately, the United States Navy, the Finest in the World, will begin the process of BLOCKADING any and all Ships trying to enter, or leave, the Strait of Hormuz. At some point, we will reach an ""ALL BEING ALLOWED TO GO IN, ALL BEING ALLOWED TO GO OUT"" basis, but Iran has not allowed that to happen by merely saying, ""There may be a mine out there somewhere,"" that nobody knows about but them. THIS IS WORLD EXTORTION, and Leaders of Countries, especially the United States of America, will never be extorted. I have also instructed our Navy to seek and interdict every vessel in International Waters that has paid a toll to Iran. No one who pays an illegal toll will have safe passage on the high seas. We will also begin destroying the mines the Iranians laid in the Straits. Any Iranian who fires at us, or at peaceful vessels, will be BLOWN TO HELL! Iran knows, better than anyone, how to END this situation which has already devastated their Country. Their Navy is gone, their Air Force is gone, their Anti Aircraft and Radar are useless, Khomeini, and most of their ""Leaders,"" are dead, all because of their Nuclear ambition. The Blockade will begin shortly. Other Countries will be involved with this Blockade. Iran will not be allowed to profit off this Illegal Act of EXTORTION. They want money and, more importantly, they want Nuclear. Additionally and, at an appropriate moment, we are fully ""LOCKED AND LOADED,"" and our Military will finish up the little that is left of Iran! President DONALD J. TRUMP"
TRT065,2026-04-13,Trump (Truth Social),The United States to Blockade Ships Entering or Exiting Iranian Ports on April 13 at 10:00 A.M. ET. Thank you for your attention to this matter! President DJT
TRT066,2026-04-15,Trump (Truth Social),"China is very happy that I am permanently opening the Strait of Hormuz. I am doing it for them, also - And the World. This situation will never happen again. They have agreed not to send weapons to Iran. President Xi will give me a big, fat, hug when I get there in a few weeks. We are working together smartly, and very well! Doesn't that beat fighting??? BUT REMEMBER, we are very good at fighting, if we have to - far better than anyone else!!! President DJT"
TRT067,2026-04-17,Trump (Truth Social),IRAN HAS JUST ANNOUNCED THAT THE STRAIT OF IRAN IS FULLY OPEN AND READY FOR FULL PASSAGE. THANK YOU!
TRT068,2026-04-17,Trump (Truth Social),"THE STRAIT OF HORMUZ IS COMPLETELY OPEN AND READY FOR BUSINESS AND FULL PASSAGE, BUT THE NAVAL BLOCKADE WILL REMAIN IN FULL FORCE AND EFFECT AS IT PERTAINS TO IRAN, ONLY, UNTIL SUCH TIME AS OUR TRANSACTION WITH IRAN IS 100% COMPLETE. THIS PROCESS SHOULD GO VERY QUICKLY IN THAT MOST OF THE POINTS ARE ALREADY NEGOTIATED. THANK YOU FOR YOUR ATTENTION TO THIS MATTER! PRESIDENT DONALD J.TRUMP"
TRT069,2026-04-17,Trump (Truth Social),Iran has agreed to never close the Strait of Hormuz again. It will no longer be used as a weapon against the World! President DONALD J. TRUMP
TRT070,2026-04-19,Trump (Truth Social),"Iran decided to fire bullets yesterday in the Strait of Hormuz — A Total Violation of our Ceasefire Agreement! Many of them were aimed at a French Ship, and a Freighter from the United Kingdom. That wasn't nice, was it? My Representatives are going to Islamabad, Pakistan — They will be there tomorrow evening, for Negotiations. Iran recently announced that they were closing the Strait, which is strange, because our BLOCKADE has already closed it. They're helping us without knowing, and they are the ones that lose with the closed passage, $500 Million Dollars a day! The United States loses nothing. In fact, many Ships are headed, right now, to the U.S., Texas, Louisiana, and Alaska, to load up, compliments of the IRGC, always wanting to be ""the tough guy!"" We're offering a very fair and reasonable DEAL, and I hope they take it because, if they don't, the United States is going to knock out every single Power Plant, and every single Bridge, in Iran. NO MORE MR. NICE GUY! They'll come down fast, they'll come down easy and, if they don't take the DEAL, it will be my Honor to do what has to be done, which should have been done to Iran, by other Presidents, for the last 47 years. IT'S TIME FOR THE IRAN KILLING MACHINE TO END! President DONALD J. TRUMP"
TRT071,2026-04-19,Trump (Truth Social),"Today, an Iranian-flagged cargo ship named TOUSKA, nearly 900 feet long and weighing almost as much as an aircraft carrier, tried to get past our Naval Blockade, and it did not go well for them. The U.S. Navy Guided Missile Destroyer USS SPRUANCE intercepted the TOUSKA in the Gulf of Oman, and gave them fair warning to stop. The Iranian crew refused to listen, so our Navy ship stopped them right in their tracks by blowing a hole in the engineroom. Right now, U.S. Marines have custody of the vessel. The TOUSKA is under U.S. Treasury Sanctions because of their prior history of illegal activity. We have full custody of the ship, and are seeing what's on board! President DONALD J. TRUMP"
TRT072,2026-04-22,Trump (Truth Social),"Iran doesn't want the Strait of Hormuz closed, they want it open so they can make $500 Million Dollars a day (which is, therefore, what they are losing if it is closed!). They only say they want it closed because I have it totally BLOCKADED (CLOSED!), so they merely want to ""save face."" People approached me four days ago, saying, ""Sir, Iran wants to open up the Strait, immediately."" But if we do that, there can never be a Deal with Iran, unless we blow up the rest of their Country, their leaders included! President DONALD J. TRUMP"
TRT073,2026-04-23,Trump (Truth Social),"I have ordered the United States Navy to shoot and kill any boat, small boats though they may be (Their naval ships are ALL, 159 of them, at the bottom of the sea!), that is putting mines in the waters of the Strait of Hormuz. There is to be no hesitation. Additionally, our mine ""sweepers"" are clearing the Strait right now. I am hereby ordering that activity to continue, but at a tripled up level! Thank you for your attention to this matter. President DONALD J. TRUMP"
TRT074,2026-04-23,Trump (Truth Social),"Iran is having a very hard time figuring out who their leader is! They just don't know! The infighting is between the ""Hardliners,"" who have been losing BADLY on the battlefield, and the ""Moderates,"" who are not very moderate at all (but gaining respect!), is CRAZY! We have total control over the Strait of Hormuz. No ship can enter or leave without the approval of the United States Navy. It is ""Sealed up Tight,"" until such time as Iran is able to make a DEAL!!! Thank you for your attention to this matter. President DONALD J. TRUMP"
TRT075,2026-04-28,Trump (Truth Social),"Iran has just informed us that they are in a ""State of Collapse."" They want us to ""Open the Hormuz Strait,"" as soon as possible, as they try to figure out their leadership situation (Which I believe they will be able to do!). Thank you for your attention to this matter! President DONALD J. TRUMP"
TRT076,2026-04-30,Trump (Truth Social),"In Honor of the King and Queen of the United Kingdom, who have just left the White House, soon headed back to their wonderful Country, I will be removing the Tariffs and Restrictions on Whiskey having to do with Scotland's ability to work with the Commonwealth of Kentucky on Whiskey and Bourbon, two very important Industries within Scotland and Kentucky. People have wanted to do this for a long time, in that there had been great Inter-Country Trade, especially having to do with the Wooden Barrels used. The King and Queen got me to do something that nobody else was able to do, without hardly even asking! A wonderful Honor to have them both in the U.S.A. President DONALD J. TRUMP"
TRT077,2026-05-01,Trump (Truth Social),"I am pleased to announce that, based on the fact the European Union is not complying with our fully agreed to Trade Deal, next week I will be increasing Tariffs charged to the European Union for Cars and Trucks coming into the United States. The Tariff will be increased to 25%. It is fully understood and agreed that, if they produce Cars and Trucks in U.S.A. Plants, there will be NO TARIFF. Many Automobile and Truck Plants are currently under construction, with over 100 Billion Dollars being invested, A RECORD in the History of Car and Truck Manufacturing. These Plants, staffed with American Workers, will be opening soon — There has never been anything like what is happening in America today! Thank you for your attention to this matter. President DONALD J. TRUMP"
TRT078,2026-05-01,Trump (Truth Social),"WE JUST DELIVERED A HUGE WIN for our Great Fishermen and Anglers in FLORIDA, GEORGIA, SOUTH CAROLINA, and NORTH CAROLINA! We have just officially approved ALL STATE PERMITS for the 2026 Red Snapper recreational season. For years, our Great Fishermen have been punished with VERY short Federal fishing seasons despite RECORD HIGH fish populations and the States begging to oversee these permits. The incompetent Biden Administration tried to SHUT DOWN THE OCEANS to our Fishermen, entirely. We love and respect our Fishermen and, unlike the Democrats, will only do good for them. To all those who fish ""Red Snapper"" — TRUMP and NOAA are delivering for you. ENJOY!! President DONALD J. TRUMP"
TRT079,2026-05-03,Trump (Truth Social),"Trump Administration to Withdraw Thousands of Troops From NATO Ally Germany, Pentagon Says: https://www.breitbart.com/europe/2026/05/02/trump-admin-to-withdraw-thousands-of-troops-from-nato-ally-germany/"
TRT080,2026-05-03,Trump (Truth Social),"Countries from all over the World, almost all of which are not involved in the Middle Eastern dispute going on so visibly, and violently, for all to see, have asked the United States if we could help free up their Ships, which are locked up in the Strait of Hormuz, on something which they have absolutely nothing to do with — They are merely neutral and innocent bystanders! For the good of Iran, the Middle East, and the United States, we have told these Countries that we will guide their Ships safely out of these restricted Waterways, so that they can freely and ably get on with their business. Again, these are Ships from areas of the World that are not in any way involved with that which is currently taking place in the Middle East. I have told my Representatives to inform them that we will use best efforts to get their Ships and Crews safely out of the Strait. In all cases, they said they will not be returning until the area becomes safe for navigation, and everything else. This process, Project Freedom, will begin Monday morning, Middle East time. I am fully aware that my Representatives are having very positive discussions with the Country of Iran, and that these discussions could lead to something very positive for all. The Ship movement is merely meant to free up people, companies, and Countries that have done absolutely nothing wrong — They are victims of circumstance. This is a Humanitarian gesture on behalf of the United States, Middle Eastern Countries but, in particular, the Country of Iran. Many of these Ships are running low on food, and everything else necessary for largescale crews to stay on board in a healthy and sanitary manner. I think it would go a long way in showing Goodwill on behalf of all of those who have been fighting so strenuously over the last number of months. If, in any way, this Humanitarian process is interfered with, that interference will, unfortunately, have to be dealt with forcefully. Thank you for your attention to this matter!DONALD J. TRUMPPRESIDENT OF THE UNITED STATES OF AMERICA"
TRT081,2026-05-04,Trump (Truth Social),"Iran has taken some shots at unrelated Nations with respect to the Ship Movement, PROJECT FREEDOM, including a South Korean Cargo Ship. Perhaps it's time for South Korea to come and join the mission! We've shot down seven small Boats or, as they like to call them, ""fast"" Boats. It's all they have left. Other than the South Korean Ship, there has been, at this moment, no damage going through the Strait. Secretary of War Pete Hegseth and Chairman of the Joint Chiefs of Staff, Dan Caine, will have a News Conference tomorrow morning. Thank you for your attention to this matter! President DONALD J. TRUMP"
TRT082,2026-05-05,Trump (Truth Social),"Based on the request of Pakistan and other Countries, the tremendous Military Success that we have had during the Campaign against the Country of Iran and, additionally, the fact that Great Progress has been made toward a Complete and Final Agreement with Representatives of Iran, we have mutually agreed that, while the Blockade will remain in full force and effect, Project Freedom (The Movement of Ships through the Strait of Hormuz) will be paused for a short period of time to see whether or not the Agreement can be finalized and signed. President DONALD J. TRUMP"
TRT083,2026-05-06,Trump (Truth Social),"Assuming Iran agrees to give what has been agreed to, which is, perhaps, a big assumption, the already legendary Epic Fury will be at an end, and the highly effective Blockade will allow the Hormuz Strait to be OPEN TO ALL, including Iran. If they don't agree, the bombing starts, and it will be, sadly, at a much higher level and intensity than it was before. Thank you for your attention to this matter! President DONALD J. TRUMP"
