event_id,telegraph_ts,source,telegraph_text,mapped_tickers,direction,mechanism,horizon_days,chain_depth,audience_breadth,polymarket_query,confidence,rationale
TRT040,2026-03-01T05:25:12+0000,Trump (Truth Social),"Iran just stated that they are going to hit very hard today, harder than they have ever hit before. THEY BETTER NOT DO THAT, HOWEVER, BECAUSE IF THEY DO, WE WILL HIT THEM WITH A FORCE THAT HAS NEVER BEEN SEEN BEFORE! Thank you for your attention to this matter! President DONALD J. TRUMP",USO;BNO;ITA,long,Trump publicly threatens unprecedented force against Iran -> heightened Middle East conflict/oil-supply-disruption risk -> crude oil and defense names bid higher.,7,2,megaphone,US military strike on Iran in 2026,medium,A top Trump Truth Social post escalating military rhetoric against Iran historically triggers a geopolitical risk premium in crude (USO/BNO) on Hormuz/supply-disruption fears and bids defense contractors (ITA). This mirrors prior 2025 episodes where direct US-Iran threats lifted oil intraday. Short horizon because such rhetoric-driven spikes typically fade within days absent actual kinetic action.
TRT041,2026-03-01T17:21:44+0000,Trump (Truth Social),"I have just been informed that we have destroyed and sunk 9 Iranian Naval Ships, some of them relatively large and important. We are going after the rest — They will soon be floating at the bottom of the sea, also! In a different attack, we largely destroyed their Naval Headquarters. Other than that, their Navy is doing very well! PRESIDENT DONALD J. TRUMP",USO;BNO;ITA,long,Trump announces active US destruction of Iran's navy -> open military conflict in the Persian Gulf raises Strait of Hormuz supply-disruption risk and defense spending -> crude oil ETFs and defense-sector ETF rise.,21,2,megaphone,US military conflict with Iran 2026,medium,"A sitting US president publicly confirming the sinking of multiple Iranian naval vessels and striking their naval HQ signals an active shooting war in the Gulf region. The most direct, liquid expressions are crude oil (Hormuz carries ~20% of seaborne oil; conflict raises supply/insurance risk -> USO, BNO) and defense (sustained kinetic operations -> ITA). Geopolitical Gulf escalations have historically produced near-term oil risk premia; horizon kept short to capture the acute-conflict window before potential de-escalation. Reasoning uses only the telegraph and general pre-2026-03-01 market structure."
TRT042,2026-03-03T19:37:13+0000,Trump (Truth Social),"Effective IMMEDIATELY, I have ordered the United States Development Finance Corporation (DFC) to provide, at a very reasonable price, political risk insurance and guarantees for the Financial Security of ALL Maritime Trade, especially Energy, traveling through the Gulf. This will be available to all Shipping Lines. If necessary, the United States Navy will begin escorting tankers through the Strait of Hormuz, as soon as possible. No matter what, the United States will ensure the FREE FLOW of ENERGY to the WORLD. The United States' ECONOMIC and MILITARY MIGHT is the GREATEST ON EARTH — More actions to come. Thank you for your attention to this matter! President DONALD J. TRUMP",FRO;STNG;INSW;DHT,long,Trump orders Navy escorts and DFC war-risk insurance for Gulf/Hormuz tankers -> confirms active threat to the world's key oil chokepoint -> war-risk premiums and rerouting spike tanker day rates -> crude/product tanker equities rerate higher.,21,2,megaphone,Strait of Hormuz disruption or closure 2026,medium,"A presidential order for Navy tanker escorts and federal political-risk insurance only happens amid an acute Gulf shipping crisis; historically Hormuz threats and convoy operations send war-risk premiums and tanker spot rates sharply higher as routes lengthen and vessels demand hazard compensation, directly benefiting listed crude/product tanker owners (FRO, STNG, INSW, DHT). The reassurance to keep energy flowing does not remove the underlying risk premium in the near term. Direction and basket reasoned solely from the disruption-signal embedded in the telegraph itself."
TRT043,2026-03-04T20:09:05+0000,Trump (Truth Social),"Delcy Rodríguez, who is the President of Venezuela, is doing a great job, and working with U.S. Representatives very well. The Oil is beginning to flow, and the professionalism and dedication between both Countries is a very nice thing to see! President DONALD J. TRUMP",CVX,long,Trump signals warming US-Venezuela relations and restarting oil flows -> sanctions relief/expanded licenses benefit the dominant US operator in Venezuela -> Chevron.,21,2,megaphone,US eases Venezuela oil sanctions in 2026,medium,"Chevron holds the principal US license to operate and lift crude in Venezuela; a top Trump post praising cooperation and 'oil beginning to flow' implies continued/expanded sanctions accommodation, the most direct beneficiary being CVX. Pre-catalyst, Chevron's Venezuela exposure was the cleanest single-name expression of US-Venezuela oil normalization."
TRT044,2026-03-06T20:46:22+0000,Trump (Truth Social),"We just concluded a very good meeting with the largest U.S. Defense Manufacturing Companies where we discussed Production and Production Schedules. They have agreed to quadruple Production of the ""Exquisite Class"" Weaponry in that we want to reach, as rapidly as possible, the highest levels of quantity. Expansion began three months prior to the meeting, and Plants and Production of many of these Weapons are already under way. We have a virtually unlimited supply of Medium and Upper Medium Grade Munitions, which we are using, as an example, in Iran, and recently used in Venezuela. Regardless, however, we have also increased Orders at these levels. The Companies represented were the CEOs of BAE Systems, Boeing, Honeywell Aerospace, L3Harris Missile Solutions, Lockheed Martin, Northrop Grumman, and Raytheon. The meeting concluded with another meeting scheduled in two months. States all over the Country are bidding for these new Plants. Thank you for your attention to this matter! President DONALD J. TRUMP",LMT;NOC;RTX;LHX;BA,long,Trump announces top defense primes agreed to quadruple production of high-end 'Exquisite Class' weaponry with increased orders -> higher revenue/backlog expectations -> long the named prime contractors.,30,1,megaphone,,medium,"Telegraph explicitly names BAE, Boeing, Honeywell, L3Harris, Lockheed, Northrop, Raytheon and cites quadrupled production plus increased orders and new plant construction—directly bullish for US-listed primes. ITA-type defense names benefit from explicit presidential procurement signaling; basket uses the most liquid US-listed primes (BAE is UK-listed, excluded; HON is multi-segment, excluded for cleaner expression). Active use in Iran/Venezuela implies ongoing munitions demand. One direct hop from statement to instrument."
TRT045,2026-03-10T20:20:24+0000,Trump (Truth Social),"I am pleased to report that within the last few hours, we have hit, and completely destroyed, 10 inactive mine laying boats and/or ships, with more to follow! President DONALD J. TRUMP",USO;BNO;ITA,long,Trump announces US military strikes destroying mine-laying vessels -> signals active maritime conflict/escalation in a shipping chokepoint -> geopolitical risk premium lifts crude oil and defense names.,10,3,megaphone,US military strike escalation March 2026,low,"A top Trump Truth Social post confirming active US strikes on mine-laying boats implies a kinetic maritime campaign near a shipping lane. Mine-warfare threats to a chokepoint historically inject a risk premium into crude and lift defense contractors. Without later information, the cleanest pre-catalyst expression of escalation is long oil (USO/BNO) plus defense (ITA). Ambiguity over the exact theater (which strait/coastline) and whether destroying inactive vessels actually reduces vs. raises shipping risk keeps confidence low and chain depth at 3."
TRT046,2026-03-10T21:17:50+0000,Trump (Truth Social),"America is returning to REAL ENERGY DOMINANCE! Today I am proud to announce that America First Refining is opening the FIRST new U.S. Oil Refinery in 50 YEARS in Brownsville, Texas. THIS IS A HISTORIC $300 BILLION DOLLAR DEAL — THE BIGGEST IN U.S. HISTORY, A MASSIVE WIN for American Workers, Energy, and the GREAT People of South Texas! Thank you to our partners in India, and their largest privately held Energy Company, Reliance, for this tremendous Investment. It is because of our America First Agenda, streamlining Permits, and lowering Taxes, that have attracted Billions of Dollars in Deals coming back to our Nation. A new Refinery at the Port of Brownsville, will fuel U.S. Markets, strengthen our National Security, boost American Energy production, deliver Billions of Dollars in Economic impact, and will be THE CLEANEST REFINERY IN THE WORLD. It will power Global Exports, and bring THOUSANDS of long overdue Jobs and Growth to a Region that deserves it. This is what AMERICAN ENERGY DOMINANCE looks like. AMERICA FIRST, ALWAYS!",FLR;KBR,long,Trump megaphone announcing a $300B new U.S. refinery build -> massive engineering/procurement/construction scope -> Gulf Coast E&C contractors get bid as the most direct listed beneficiaries.,10,2,megaphone,New US oil refinery construction announced 2026 / Reliance Brownsville refinery deal,low,"Reliance (India's largest private energy co, operator of Jamnagar) and 'first new U.S. refinery in 50 years' framing points to a large greenfield build; the cleanest listed expression is U.S. engineering & construction firms (Fluor, KBR) who win such megaprojects, since Reliance is not US-listed and incumbent refiners only see distant capacity dilution. The $300B headline is grandiose vs typical refinery capex (~$10-20B) and no contractor is named yet, so credibility/linkage is uncertain — hence low confidence and a short sentiment-driven horizon. Reasoning uses only the announcement and known pre-2026-03-10 context."
TRT047,2026-03-13T22:54:10+0000,Trump (Truth Social),"Moments ago, at my direction, the United States Central Command executed one of the most powerful bombing raids in the History of the Middle East, and totally obliterated every MILITARY target in Iran's crown jewel, Kharg Island. Our Weapons are the most powerful and sophisticated that the World has ever known but, for reasons of decency, I have chosen NOT to wipe out the Oil Infrastructure on the Island. However, should Iran, or anyone else, do anything to interfere with the Free and Safe Passage of Ships through the Strait of Hormuz, I will immediately reconsider this decision. During my First Term, and currently, I rebuilt our Military into the Most Lethal, Powerful, and Effective Force, by far, anywhere in the World. Iran has NO ability to defend anything that we want to attack — There is nothing they can do about it! Iran will NEVER have a nuclear weapon, nor will it have the ability to threaten the United States of America, the Middle East or, for that matter, the World! Iran's Military, and all others involved with this Terrorist Regime, would be wise to lay down their arms, and save what's left of their country, which isn't much! Thank you for your attention to this matter. President DONALD J. TRUMP",USO;BNO,long,US bombing of Iran's Kharg Island (~90% of Iranian oil export terminal) plus explicit Strait of Hormuz threat -> Middle East war-risk premium -> crude oil prices spike -> oil-tracking ETFs rise.,21,2,megaphone,Strait of Hormuz closed or US-Iran war in 2026,high,"Pre-catalyst: Kharg Island is the chokepoint for the vast majority of Iran's crude exports and the Strait of Hormuz carries ~20% of global oil; a direct US strike on Iranian soil with an explicit Hormuz interference warning is a textbook geopolitical supply-shock that lifts crude. Top Trump Truth Social post is instantly read by the whole market. Oil ETFs (WTI via USO, Brent via BNO) are the cleanest direct expression. Horizon kept short because conflict risk premia typically mean-revert once no actual supply disruption materializes."
TRT048,2026-03-14T14:04:32+0000,Trump (Truth Social),"Many Countries, especially those who are affected by Iran's attempted closure of the Hormuz Strait, will be sending War Ships, in conjunction with the United States of America, to keep the Strait open and safe. We have already destroyed 100% of Iran's Military capability, but it's easy for them to send a drone or two, drop a mine, or deliver a close range missile somewhere along, or in, this Waterway, no matter how badly defeated they are. Hopefully China, France, Japan, South Korea, the UK, and others, that are affected by this artificial constraint, will send Ships to the area so that the Hormuz Strait will no longer be a threat by a Nation that has been totally decapitated. In the meantime, the United States will be bombing the hell out of the shoreline, and continually shooting Iranian Boats and Ships out of the water. One way or the other, we will soon get the Hormuz Strait OPEN, SAFE, and FREE! President DONALD J. TRUMP",USO;BNO;XLE,long,Trump confirms active conflict and military operations around the Strait of Hormuz -> ~20% of global seaborne oil transit at risk -> oil supply premium spikes -> crude and energy equity ETFs rise.,21,2,megaphone,Iran closes Strait of Hormuz 2026,high,"Hormuz carries roughly a fifth of world oil and a third of seaborne LNG; an explicit Presidential statement of ongoing US bombing, mining/drone threats, and a multinational naval mobilization signals acute, active disruption to the chokepoint. Most direct expression is long crude (USO/BNO) plus energy producers (XLE), which carry a geopolitical supply premium during Gulf conflict. Megaphone reach (top Trump Truth Social post) means instant broad market read. Short horizon reflects spike-and-fade nature of geopolitical oil premia."
TRT049,2026-03-19T02:05:29+0000,Trump (Truth Social),"Israel, out of anger for what has taken place in the Middle East, has violently lashed out at a major facility known as South Pars Gas Field in Iran. A relatively small section of the whole has been hit. The United States knew nothing about this particular attack, and the country of Qatar was in no way, shape, or form, involved with it, nor did it have any idea that it was going to happen. Unfortunately, Iran did not know this, or any of the pertinent facts pertaining to the South Pars attack, and unjustifiably and unfairly attacked a portion of Qatar's LNG Gas facility. NO MORE ATTACKS WILL BE MADE BY ISRAEL pertaining to this extremely important and valuable South Pars Field unless Iran unwisely decides to attack a very innocent, in this case, Qatar - In which instance the United States of America, with or without the help or consent of Israel, will massively blow up the entirety of the South Pars Gas Field at an amount of strength and power that Iran has never seen or witnessed before. I do not want to authorize this level of violence and destruction because of the long term implications that it will have on the future of Iran, but if Qatar's LNG is again attacked, I will not hesitate to do so. Thank you for your attention to this matter. President DONALD J. TRUMP",BNO;UNG;LNG,long,"Trump confirms Israel hit South Pars and Iran struck Qatari LNG, with a US threat to destroy the world's largest gas field -> Middle East energy infrastructure war risk spikes -> crude/natural gas and US LNG exporter values rise.",21,2,megaphone,US military strike on Iran in 2026,medium,"South Pars is the world's largest gas field and Qatar a top global LNG exporter; an active strike exchange on these facilities plus a US threat to obliterate South Pars implies acute supply-disruption risk that historically pushes Brent and natural gas higher and benefits US LNG exporters like Cheniere. Top Trump Truth Social post = instant broad market read. Geopolitical risk premia tend to be front-loaded and fade, hence a short hold."
TRT050,2026-03-21T23:44:53+0000,Trump (Truth Social),"If Iran doesn't FULLY OPEN, WITHOUT THREAT, the Strait of Hormuz, within 48 HOURS from this exact point in time, the United States of America will hit and obliterate their various POWER PLANTS, STARTING WITH THE BIGGEST ONE FIRST! Thank you for your attention to this matter. President DONALD J. TRUMP",USO;BNO;XLE,long,Trump issues 48-hour ultimatum threatening strikes on Iran's power plants over the Strait of Hormuz -> Middle East war/oil-chokepoint risk premium -> crude oil and energy equities spike.,7,2,megaphone,US military strike on Iran by April 2026,high,"The Strait of Hormuz carries roughly a fifth of seaborne crude; an explicit, time-boxed US military threat against Iran is a textbook oil risk-premium catalyst. The most direct tradeable expression is long crude (USO/BNO) and US energy producers (XLE). A top Trump Truth Social post is read instantly market-wide, so the signal is a megaphone. Short horizon because the 48-hour ultimatum forces rapid resolution and risk-premium decay either way."
TRT051,2026-03-23T11:23:40+0000,Trump (Truth Social),"I AM PLEASED TO REPORT THAT THE UNITED STATES OF AMERICA, AND THE COUNTRY OF IRAN, HAVE HAD, OVER THE LAST TWO DAYS, VERY GOOD AND PRODUCTIVE CONVERSATIONS REGARDING A COMPLETE AND TOTAL RESOLUTION OF OUR HOSTILITIES IN THE MIDDLE EAST. BASED ON THE TENOR AND TONE OF THESE IN DEPTH, DETAILED, AND CONSTRUCTIVE CONVERSATIONS, WHICH WILL CONTINUE THROUGHOUT THE WEEK, I HAVE INSTRUCTED THE DEPARTMENT OF WAR TO POSTPONE ANY AND ALL MILITARY STRIKES AGAINST IRANIAN POWER PLANTS AND ENERGY INFRASTRUCTURE FOR A FIVE DAY PERIOD, SUBJECT TO THE SUCCESS OF THE ONGOING MEETINGS AND DISCUSSIONS. THANK YOU FOR YOUR ATTENTION TO THIS MATTER! PRESIDENT DONALD J. TRUMP",USO;BNO,short,Trump announces US-Iran de-escalation and pause on strikes against Iranian energy infrastructure -> geopolitical risk premium on crude oil drains out -> oil-tracking ETFs fall.,7,2,megaphone,US military strike on Iran in 2026,medium,"Pre-telegraph context shows active US-Iran hostilities with threatened strikes on Iranian power plants and energy infrastructure, which had embedded a war-risk premium in crude. A presidential announcement of productive talks plus a postponement of strikes removes near-term supply-disruption fear, pressuring oil prices lower over the stated five-day window. Trump's own statement caveats success of ongoing meetings, so the easing is conditional and the horizon is kept short."
TRT052,2026-03-26T20:11:41+0000,Trump (Truth Social),"As per Iranian Government request, please let this statement serve to represent that I am pausing the period of Energy Plant destruction by 10 Days to Monday, April 6, 2026, at 8 P.M., Eastern Time. Talks are ongoing and, despite erroneous statements to the contrary by the Fake News Media, and others, they are going very well. Thank you for your attention to this matter! President DONALD J. TRUMP",USO;BNO,short,Trump announces a 10-day pause in striking Iranian energy plants amid ongoing talks -> de-escalation lowers the Iran/Hormuz war-risk premium embedded in crude -> oil-tracking ETFs fall.,14,2,megaphone,US-Iran ceasefire or deal by April 2026,medium,"Pre-catalyst context: the post itself implies an active US campaign destroying Iranian energy infrastructure, which would have inflated a geopolitical risk premium in crude. A presidential pause plus 'talks going very well' is a clear de-escalation signal; the most direct tradable expression is the unwinding of that oil risk premium via crude ETFs (USO/BNO) over the ~10-day pause window through the April 6 deadline. Top Trump Truth Social post = instant broad market read."
